Dpto;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;estadoFisicoCultivo
Boyacá;Briceño;Guanábana;Guanábana;Permanente;Frutales;Anonáceas;2019;C;85.0;45.0;880.0;19.56;Annona muricata L.;En fresco
Boyacá;Briceño;Guayaba;Guayaba;Permanente;Frutales;Mirtáceas;2019;C;292.0;180.0;1350.0;7.5;Psidium guajava L.;En fresco
Boyacá;Briceño;Lulo;Lulo;Permanente;Frutales;Solanáceas;2019;C;50.0;9.0;72.0;8.0;Solanum quitoense Lam;En fresco
Boyacá;Briceño;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;42.0;30.0;300.0;10.0;Morus ssp;En fresco
Boyacá;Briceño;Naranja demás variedades;Naranja;Permanente;Frutales;Cítricos;2019;C;45.0;43.0;570.0;13.26;Citrus sinensis L. OSBECK;En fresco
Boyacá;Briceño;Pitahaya;Pitahaya;Permanente;Frutales;Demas frutales;2019;C;4.0;1.0;4.0;4.0;Hylocereus triangularis;En fresco
Boyacá;Briceño;Plátano consumo interno;Plátano;Permanente;Frutales;Demas frutales;2019;C;40.0;20.0;28.0;1.4;Musa paradisiaca L.;En fresco
Boyacá;Briceño;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;A;13.0;10.0;5.0;0.5;Zea mays;En fresco
Boyacá;Briceño;Yuca consumo en fresco;Yuca;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;12.0;5.0;40.0;8.0;Manihot esculenta;En fresco
Boyacá;Briceño;Maíz Tradicional;Maíz;Transitorio;Cereales;Cereales;2019;B;25.0;20.0;10.0;0.5;Zea mays;En fresco
Boyacá;Buenavista;Aguacate demás variedades;Aguacate;Permanente;Frutales;Demas frutales;2019;C;72.0;62.0;558.0;9.0;Persea americana;En fresco
Boyacá;Buenavista;Guanábana;Guanábana;Permanente;Frutales;Anonáceas;2019;C;16.0;15.0;210.0;14.0;Annona muricata L.;En fresco
Boyacá;Buenavista;Gulupa o cholupa;Gulupa o cholupa;Permanente;Frutales;Pasifloráceas;2019;C;21.0;11.0;198.0;18.0;Passiflora edulis Sims fo. Edulis;En fresco
Boyacá;Buenavista;Limón  Tahití;Limón;Permanente;Frutales;Cítricos;2019;C;12.0;0.0;0.0;0.0;Citrus limon L.;En fresco
Boyacá;Buenavista;Mandarina demás variedades;Mandarina;Permanente;Frutales;Cítricos;2019;C;73.0;73.0;1095.0;15.0;Citrus reticulata;En fresco
Boyacá;Buenavista;Mora;Mora;Permanente;Frutales;Demas frutales;2019;C;10.0;10.0;80.0;8.0;Morus ssp;En fresco
Boyacá;Buenavista;Naranja demás variedades;Naranja;Permanente;Frutales;Cítricos;2019;C;100.0;100.0;1800.0;18.0;Citrus sinensis L. OSBECK;En fresco
Boyacá;Buenavista;Tomate de árbol;Tomate de árbol;Permanente;Frutales;Solanáceas;2019;C;85.0;73.0;1241.0;17.0;Solanum betaceum;En fresco
Boyacá;Buenavista;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;A;7.0;7.0;490.0;70.0;Lycopersicon esculentum;En fresco
Boyacá;Buenavista;Habichuela;Habichuela;Transitorio;Leguminosas;Leguminosas;2019;A;10.0;10.0;80.0;8.0;Phaseolus vulgaris;En fresco
Boyacá;Buenavista;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;A;12.0;12.0;252.0;21.0;Solanum tuberosum;En fresco
Boyacá;Buenavista;Tomate Invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de Futo;2019;B;15.0;14.0;980.0;70.0;Lycopersicon esculentum;En fresco
Boyacá;Buenavista;Habichuela;Habichuela;Transitorio;Leguminosas;Leguminosas;2019;B;5.0;5.0;45.0;9.0;Phaseolus vulgaris;En fresco
Boyacá;Buenavista;Papa todas las variedades;Papa;Transitorio;Raíces y Tubérculos;Raíces y Tubérculos;2019;B;12.0;12.0;252.0;21.0;Solanum tuberosum;En fresco
Boyacá;Busbanzá;Durazno o Albaricoque;Durazno o Albaricoque;Permanente;Frutales;Caducifolios;2019;C;1.0;0.0;0.0;0.0;Prunus persica L.;En fresco
Boyacá;Busbanzá;Feijoa;Feijoa;Permanente;Frutales;Mirtáceas;2019;C;1.0;0.0;0.0;0.0;Feijoa sellowiana berg.;En fresco
