Cultivo;grupoCultivo;areaSembradaHa;produccionTon;rendimientoTonHa;grupoCultivoOrd;EstadoFinalOrd;PeriodoOrd;CicloOrd;CultivoFre
Frijol;Leguminosas;15.0;28.0;2.0;3;1;1;0;1090
Maíz;Cereales;12.0;13.42;1.12;5;1;0;0;1624
Maíz;Cereales;5.0;5.59;1.12;5;1;0;0;1624
Arveja;Leguminosas;27.0;47.94;1.78;3;2;0;0;1173
Maíz;Cereales;10.0;11.19;1.12;5;1;1;0;1624
Maíz;Cereales;8.0;8.95;1.12;5;1;1;0;1624
Arveja;Leguminosas;36.0;58.88;1.64;3;2;1;0;1173
Café;Cultivos Tropicales Tradicionales;369.41;382.76;1.18;6;3;2;1;474
Maíz;Cereales;200.0;391.53;1.96;5;1;0;0;1624
Arveja;Leguminosas;40.0;56.07;1.4;3;2;0;0;1173
Frijol;Leguminosas;250.0;1000.0;4.0;3;1;0;0;1090
Maíz;Cereales;280.0;469.83;1.68;5;1;1;0;1624
Arveja;Leguminosas;50.0;70.09;1.4;3;2;1;0;1173
Frijol;Leguminosas;300.0;1258.74;4.2;3;1;1;0;1090
Maíz;Cereales;400.0;1034.75;2.8;5;1;0;0;1624
Arveja;Leguminosas;150.0;271.03;1.87;3;2;0;0;1173
Frijol;Leguminosas;300.0;420.0;1.5;3;1;0;0;1090
Maíz;Cereales;20.0;41.95;3.5;5;1;1;0;1624
Arveja;Leguminosas;300.0;280.37;1.87;3;2;1;0;1173
Arveja;Leguminosas;80.0;157.71;2.1;3;2;0;0;1173
Arveja;Leguminosas;65.0;112.15;1.87;3;2;1;0;1173
Maíz;Cereales;12.0;36.0;3.0;5;1;0;0;1624
Maíz;Cereales;4.0;6.0;1.5;5;1;0;0;1624
Arveja;Leguminosas;6.0;9.6;1.6;3;2;0;0;1173
Maíz;Cereales;20.0;60.0;3.0;5;1;1;0;1624
Maíz;Cereales;20.0;55.0;2.75;5;1;1;0;1624
Arveja;Leguminosas;10.0;16.0;1.6;3;2;1;0;1173
Maíz;Cereales;100.0;139.83;1.4;5;1;0;0;1624
Arveja;Leguminosas;256.0;598.13;2.34;3;2;0;0;1173
